name,description,instructors,year
Bootstrapping Computer Vision Models with Synthetic Data,"Training computer vision models traditionally hinges on collecting and labeling real-world data — slow, expensive, and often incomplete. In this workshop you'll use NVIDIA Omniverse Replicator to generate physically simulated synthetic datasets that augment or replace real-world data with diverse, accurately labeled alternatives. You'll work through the Omniverse Defect Extension, parameterize scenes, generate and export labeled images, train deep neural networks on the synthetic data, and iterate to optimize accuracy for inference deployment.",Andrea Pilzer,2024
Efficient Large Language Model (LLM) Customization,"Pretrained LLMs rarely work out-of-the-box for a specific business use case. This workshop walks through the spectrum of customization techniques available in NVIDIA NeMo — prompt engineering, prompt learning, parameter-efficient fine-tuning (PEFT) methods like LoRA and p-tuning, and full fine-tuning — and shows where each fits on the data/compute/accuracy trade-off curve. You'll customize models such as GPT and LLaMA-2 hands-on, learn how to compose multiple adapted models for downstream tasks, and leave with a practical playbook for adapting LLMs to your own domain efficiently.",Seyed-Ahmad Ahmadi,2024
Fundamentals of Deep Learning,"Get hands-on with the core mechanics of deep learning through exercises spanning computer vision and natural language. You'll train neural networks from scratch — starting with image classification, layering on convolutional architectures, and improving generalization through data augmentation. From there you'll work with pre-trained models and transfer learning to reach strong accuracy with less data and compute, train a recurrent network on sequential text, and finish with a final project that classifies fresh versus rotten produce. By the end you'll have a working mental model of how modern deep learning frameworks fit together and the confidence to take on your own projects. Technologies: TensorFlow 2 with Keras, Pandas.",Sunil Patel,2024
Building Transformer Based Natural Language Processing Applications,"Build production NLP applications grounded in modern transformer architectures. The workshop starts with the mechanics of self-attention and the transformer block, then walks through encoder models (BERT-family) for understanding tasks like classification and named-entity recognition, and decoder models for generation. You'll use NVIDIA NeMo to fine-tune models on custom data, NVIDIA Triton Inference Server to deploy them, and finish with a project that combines the pieces into an end-to-end NLP pipeline. Technologies: PyTorch, Pandas, NVIDIA NeMo, NVIDIA Triton Inference Server.",Raman Selvakumar,2024
Generative AI with Diffusion Models,"Diffusion models power most of today's state-of-the-art image generation systems. This workshop builds up from the fundamentals — how denoising diffusion works, the role of the U-Net, noise schedules — to text-conditioned generation with CLIP embeddings and the techniques that make systems like Stable Diffusion practical. Through hands-on exercises you'll train your own diffusion models, condition generation on text, and explore applications across creative content, data augmentation, and design. Technologies: PyTorch, Hugging Face Diffusers.",Darcy Tang and Joanna Yang,2024
"Profilers, Python, and Performance: Nsight Tools for Optimizing Modern CUDA Workload","Learn how NVIDIA's profiling tools, Nsight Systems and Nsight Compute, can help you accelerate modern compute workloads. In the first half of this lab, you'll get hands-on experience with optimizing CUDA applications using Nsight Systems, which is a system-wide performance analysis tool that helps you optimize and scale a CUDA application irrespective of where it runs, whether on a simple workstation, an embedded device, or a cluster in the cloud. In the second half, we'll switch focus to individual workloads on the GPU and explore how to use Nsight Compute to dive deep into CUDA details for applications written in Python, the language of AI. You'll learn how to measure and optimize hardware pipeline utilization, memory accesses, and more, from the source to the assembly level.",Felix Schmitt // Sneha Kottapalli,2024
Fundamentals of Working with OpenUSD,"In this introductory level training lab, we will cover the fundamentals of working with Universal Scene Description (OpenUSD) - an open and extensible ecosystem for describing, composing, simulating, and collaborating within 3D worlds. Learn how you can use USD for non-destructive workflows, how layers can help with ease and speed of scene composition, and how to use USD for data separation and reuse to accelerate 3D workflows in industrial use cases.

In this session, you will:

•Learn the basics of Layering and Composition in USD.
•Understand model hierarchy for scene organization.
•Utilize Scenegraph Instancing for scene performance and organization.",Paul Cutsinger,2024
Building a 3D Product Configurator with USD and Omniverse,"In this hands-on lab, you’ll unlock the power of OpenUSD to build a real-time configurator in Omniverse. Along the way you’ll learn about workflows, asset considerations, and USD composition concepts that you can apply directly to your own development process. In the lab you’ll author a Variant set, add functionality using Action Graph, and author a webpage to communicate with your configurator. Additionally, we will go over the process of publishing and packaging final content, and streaming your configurator to a web page.",Devin Lafontaine // Ashley Goldstein // Martin Karlsson,2024
Developing Industrial Inspection Workflows with Metropolis for Factories,"Learn how to utilize the latest capabilities of NVIDIA Metropolis for Factories to construct comprehensive end-to-end industrial inspection applications. Generate synthetic data to train your models, and deploy your solutions either as cloud services or edge applications, all directly from your web browser. Discover how to tailor your applications to meet specific needs using intuitive low-code/no-code tools.",Carlos Garcia-Sierra,2024
Real 2 Sim: Build 3D Assets from Real-World Objects,,Jason Tichy // Maycon da Silva Carvalho,2024
Large-Scale Production Deployment of RAG Pipelines,"Retrieval augmented generation (RAG) pipelines are already changing every aspect of modern enterprise operation. There are countless online tutorials demonstrating proof-of-concept-level naïve RAG applications incapable of dealing with large volumes of traffic and large document volumes. This training lab will bridge this gap and discuss an opinionated best practice for production-level deployment. From infrastructure sizing through breaking down end-to-end Helm-based deployment to customizing individual pipeline components, we'll provide a high-level overview of steps your organization will have to take to transform early proofs of concept into enterprise-grade deployments.",Meriem Bendris,2024
"Everything, all at once - Processing Spatial Transcriptomics data using Accelerated Computing","The potential clinical benefits of combining the power of mRNA expression with the rich context of tissue morphology are considerable. Equally impressive is the amount of data preparation and processing needed to perform this analysis. In the absence of well-established pipelines dedicated to this analysis, scientists often have to make-do with their own curated set of tools and techniques. This session shows how RAPIDS and compatible tools can be used to address the key steps in the process, reducing the time turn biological mysteries into actionable insights.",Jonny Hancox,2024
Exploring the Chemical and Biomolecular Space using BioNeMo for Drug Discovery,"Transformer-based large language models (LLMs) have revolutionized the ways to understand and explore massive datasets and enable us to generate and augment relevant data efficiently. Initially applied for natural language processing tasks, LLMs have extended applicability in understanding languages of the molecules of life — DNA, RNA, proteins, and chemical compounds. Understanding and efficiently exploring such vast and intricate biochemical data spaces is crucial for drug discovery — from designing new molecules to predicting complex behaviors. BioNeMo enables researchers to train LLMs, fine-tune, and use them for inference for predictive and generative AI. BioNeMo Service allows researchers to perform inference at a scale using state-of-the-art LLMs for drug discovery.
 
 We'll introduce BioNeMo — Framework and Service — and their applications, then take a deeper dive into running LLM training and inferencing using pre-trained models in BioNeMo for biomolecular property predictions.",Kristopher Kersten // Neel Patel,2024
Building a GPU-Accelerated Retrieval Augmented Generation (RAG) Pipeline,"Large language models (LLMs) show promising results in understanding and generating text. LLMs are used for different applications such as conversational chatbots, content generation, etc. One limitation of the LLMs is that they are prone to hallucinate — to generate false knowledge. One reason for that is because they are agnostic to up-to-date and domain-specific data. Retrieval augmented generation (RAG) is a proposed solution for that issue, helping practitioners use current domain-specific data to augment LLM capabilities. Learn to create a RAG pipeline on GPU for the Q&A task going over these steps:
 • Understand the main concepts of LLMs and the RAG;
 • Pre-process the documents in the given document store;
 • Set up a vector database for retrieving relevant context from an embedding language model; and
 • Combine the retrieved context with query + prompt and feed to an LLM to generate a response.",Benedikt Schifferer // Ronay Ak,2024
"Accelerated LLM Model Alignment and Deployment in NeMo, TensorRT-LLM, and Triton Inference Server","The demand for accelerated large language models (LLMs) has surged with the growing popularity of generative models. These models, often boasting billions of parameters, hold immense potential, but also pose challenges during large-scale deployments. Join us as we delve into the world of accelerated LLM model alignment using the NeMo Framework and inference optimization and deployment through NVIDIA's TensorRT-LLM and Triton Inference Server.
 
 We'll spotlight the innovative SFT and PEFT Fine-tuning (LoRA) approach, a key component for LLM alignment. We'll also uncover the intricacies of inference optimization using TensorRT-LLM, highlighting kv-caching, paged attention, in-flight batching, and the pivotal role it plays in making LLMs faster and more cost-effective. We'll take you through the crucial steps of fine-tuning, optimizing, and deploying LLaMA model in production environment using Triton Inference Server.",Bharat Giddwani // Utkarsh Uppal,2024
"Navigating Virtual Worlds: Exploring Omniverse, Realistic Simulations, and Generative AI","In a world where AI's evolution within the metaverse, digital twins, and simulations is accelerating, there is a widespread eagerness to learn how to navigate this rapidly advancing landscape. The technological landscape has transformed significantly since the initial introduction of Omniverse. Join us to navigate the Omniverse together. We'll guide you through live simulations and dataset generation in just 100 minutes. Immerse yourself in the expansive world of realistic simulation technology driven by NVIDIA's PhysX, and harness the power of Omniverse's generative AI tool to craft lifelike virtual environments. Whether you're starting from scratch or customizing tools for your specific industry needs, we've got you covered. Dive deep into the versatility of PhysX simulations, mimicking real-life scenarios. Plus, discover a cutting-edge tool that combines ChatGPT and Omniverse for generative AI room creations. Don't miss out; join us today!",Aik Beng Ng // Megani Rajendran,2024
Streamlining Enterprise Data Operations with Multimodal RAG and LangChain,"Enterprises are increasingly seeking ways to automate their data management processes to save time and reduce manual labor. This training lab will focus on the practical use of multimodal Retrieval-Augmented Generation (RAG) agents to automate routine tasks involving databases such as MySQL, Snowflake, and Databricks. We will demonstrate how these AI-driven agents - integrated with LangChain and NVIDIA Riva - can facilitate event-driven interactions with databases, improve communication through speech capabilities, and adhere to safety and security best practices. Attendees will learn to leverage these technologies to enhance their data operations and analytics, and will walk away with effective workflows for implementing such solutions on their own tech stacks.",Ryan Kraus // Vinay Bagade,2024
Simulating Custom Robots: A Hands-On Lab Using Isaac Sim and ROS2,"Robotics applications have grown in popularity recently, with robots being used in industries including manufacturing, healthcare, and agriculture (among others) to increase production, quality, efficiency, and safety. And with the help of other technologies such as artificial intelligence, sensor technologies, and hardware developments, it's now possible to build a robot capable of operating independently of other devices.
 
 Learn how to simulate a custom robot, how to import custom messages from the ROS2 application, and allow Isaac Sim to subscribe to and publish those messages. You'll create the ROS2 package with the appropriate Python version that's compatible with your Isaac Sim version, then create an extension that uses those messages. By the end of this workshop, you should be able to import your custom robot, build the ROS2 packages, and run a simulation in which Isaac Sim communicates with the ROS2 app and vice versa.",Elie Youssef // Liila Torabi,2024
Building High-Performance and AI-Enabled Sensor Processing Applications,"Along with the demand for real-time insights and autonomous decision-making comes the need for scalable edge solutions that can process AI-enabled sensor data at the source and scale out to on-premises or cloud. However, several formidable challenges lie ahead, including:
 
 • Real-time latency requirements; 
 • Complexity of building and maintaining custom pipeline for AI-enabled sensor processing;
 • Hardware heterogeneity needs (for a solution not tied to a specific type of hardware);
 • Multimodality sensor processing;
 • Compute-efficient visualization; 
 • Integration from edge to on-premises to cloud-distributed network; and
 • Long-term whole-stack stability.
 
 Holoscan SDK is NVIDIA’s real-time, low-latency, and domain-agnostic SDK to build, deploy, and scale domain-agnostic AI-enabled sensor processing applications. We'll show you how to scale with Holoscan, while stressing core components including simplification of I/O from sensor to GPU, AI inferencing and accelerated computing, and real-time visualization.",Bob Keating // Jin Li (Worldwide Field Ops),2024
Training Robot Behavior at Scale in the AWS Cloud with the NVIDIA Isaac Robotics Platform,"In this training lab, you will learn the benefits of using Reinforcement Learning to train robot behaviors. Then you will learn how to train robots quickly and easily with NVIDIA Isaac Sim in AWS Cloud. Finally you will learn to scale training for robots across multiple GPU nodes to expedite performance using AWS Batch.",Matt Hansen,2024
AI Safety Defenders: Reinforcing Boundaries with Guardrails,"Get ready to master the art of steering AI towards accuracy in the medical domain. In this training lab, we’ll learn how to develop “guardrails” to ensure your AI stays on track and delivers trustworthy results. We’ll uncover how Nemo Guardrails can avert AI hallucinations by employing robust filters, including those for fact-checking, moderation, and HIPAA compliance in healthcare applications. Along the way, we will use NVIDIA/UFlorida’s SynGatorTron model and Milvus vector database microservice for a small-scale synthetic data demonstration which can scale and accelerate to match your target use case. By the end of this session, you’ll be able to craft AI systems that are not just factually accurate but also stay on track and adhere to the highest industry standards.",Siddha Ganju // Christopher Parisien,2024
Accelerated Computing with Modern C++,"Learn to take your ISO C++ application to the next level by using the C++ parallel algorithms to accelerate your code on GPUs and multicore CPUs. C++ is one of the most widely-used programming languages and provides a rich set of parallel building blocks for your application. Learn how to modernize a C++ application using the standard parallel algorithms to run on the NVIDIA platform. No prior experience in GPU computing is necessary, but you do need to know how to read and modify C++. Level up your C++ with the parallel algorithms and NVIDIA.",Jeff Larkin,2024
Learn How to use a Route Optimization Cloud Service to Drive Efficiency and Cost Savings,"Join AI experts to learn how to use the NVIDIA cuOpt cloud service to minimize vehicle routing inefficiencies by finding the most optimal routes for a heterogeneous fleet of vehicles making deliveries, pickups, dispatching jobs, and more.
 
 Bring your laptop to get access to the latest NVIDIA enterprise hardware and software through a hands-on lab powered by NVIDIA LaunchPad, and follow along as we build the most optimal routes that can significantly save time, resources, and money. Then consult with an architect to discuss your specific use case.",Adi Geva // Anudeep Nallamothu,2024
Elevate Your Robotics Game: Unleash High Performance with Isaac ROS & Isaac SIM,"Our introduction to the Isaac Robot Operating System will include:
 • A hands-on tutorial showing how to use the Isaac ROS dev container;
 • How to run Isaac ROS perception packages on Jetson; and
 • A demo of how to test a robot in simulation with hardware in the loop, using Isaac SIM and Isaac ROS.
 
 (Reference: GitHub - NVIDIA-AI-IOT/isaac_demo: Set of demo to try Isaac ROS with Isaac SIM)",Chitoku Yato // Piyush Medikeri // Asawaree Bhide,2024
Accelerating Data Analytics on GPUs with the RAPIDS Accelerator for Apache Spark,"The RAPIDS Accelerator for Apache Spark leverages the distributed big data processing framework of Spark along with the power of GPUs to greatly speed-up ETL and analytics workloads while reducing cost. In this training lab, we'll walk through the RAPIDS Accelerator for Apache Spark, including running SQL queries on CPU and GPU in Spark and also diving into the toolset that helps enable success with the RAPIDS Accelerator for Apache Spark.
 
 In this session, participants will: understand what Spark is and how it is used; understand how the RAPIDS Accelerator for Apache Spark integrates with Spark and leverages GPUs; run Spark CPU workloads and inspect Spark logs to understand how queries are planned; run Spark GPU workloads to see how Spark jobs are accelerated on GPU with the RAPIDS Accelerator for Apache Spark; and dive into the RAPIDS Accelerator for Apache Spark toolset, including the workload qualification tool for estimating speedup on GPU and the profiling tool for tuning jobs.",Matt Ahrens,2024
Create Your Artistic Portrait with Multimodal Generative AI and NVIDIA Technologies,"Multimodal generative AI has recently seen significant advancements, enabling the creation of realistic images from textual or other inputs. Due to the complexity of these models, understanding how they function and how to apply them in practical settings can be challenging. We'll walk you through the concepts behind generative AI in visual content creation and review the evolution of these techniques and their application in a variety of industries. We'll focus on diffusion models and explain how they are trained and fine-tuned. For the hands-on, we will use a multimodal framework to fine-tune a pre-trained text-to-image model to generate a subject of your choice using a handful of images. We'll guide you through all the steps: preparing your dataset, training, inference, and visualization of the results. The workshop is intended for anyone interested in the current state of AI and its potential to produce realistic and immersive multimedia experiences.",Asma Farjallah // Ekaterina Sirazitdinova,2024
Training an Autonomous Mobile Race Car with Open USD and Isaac Sim,"Autonomous mobile robots (AMRs) are a key element of industrial automation. Training AMRs in the real world is often a difficult, expensive process and prevents many from taking advantage of their tremendous potential. Combining remote control car platforms such as F1Tenth and JetRacer with synthetic data allow virtually anyone to build and train their own AMR. In this session you will use Open USD and Isaac Sim to train a virtual F1Tenth vehicle on a digital twin of a track. This will be done using ROS 2 and Isaac Sim in such a way that you can deploy your trained model directly to a real-world robot. Finally, there will be a race to see whose car is the best-trained. The fastest car will get a prize and bragging rights, but with such a fun, informative session we are all winners!",Eric Bowman,2024
Exploring Foundation Models: The Pillars of AI Advancement,"Join us for an exciting introduction to foundation models in generative AI! In this tutorial, we'll explore the basics of foundation models, their significance, applications, and the latest developments in the field of AI. Whether you're an academic, industry professional, or anyone eager to dive into the world of AI, foundation models (FM) are pre-trained AI models with vast potential for various natural language processing tasks, from language translation to sentiment analysis. 
 
 We'll uncover the concept, applications, and NVIDIA's contributions to FM development. You'll discover the evolution of foundation models, tracing their path from the early days of the Perceptron to their current role in shaping AI, like ChatGPT. We'll also discuss the challenges they face in today's AI landscape. But here's the real excitement: this isn't just theory. Our hands-on NeMo tutorial will empower you to build AI models and applications using NVIDIA NeMo technology.",Darren Tan // Jovan Chew,2024
Techniques for Improving the Effectiveness of RAG Systems,"Retrieval-augmented generation (RAG) systems show great promise for business applications, but a naive approach simply pairing a vector database retriever with a general-purpose large language model (LLM) rarely leads to high-quality results. Learn techniques that can take your RAG system from an interesting proof-of-concept to a serious asset. We'll cover hybrid retrievers, using multiple smaller fine-tuned expert models instead of a single large general-purpose model, and a cognitive framework you can use to make decisions about the best components to add to your RAG application. We'll show you how to evaluate RAG performance with each iterative design change, using both human-as-a-judge and LLM-as-a-judge evaluation frameworks to measure the impact of these techniques vs. a naive RAG baseline. With the lessons learned in this workshop, you’ll be able to build applications that deliver on the expectations of what serious LLM-based RAG applications can do.",Chris Pang,2024
Intro to Large Language Models: LLM Tutorial and Disease Diagnosis LLM Lab,"First, we'll discuss what a large language model (LLM) is and list some of the strengths and weaknesses of these models, looking at a handful of models and approaches. We'll explain the difference between pre-training and fine-tuning. We'll discuss Input processing by showing the steps of taking an input string and tokenizing it into input IDs. We'll introduce QLoRa as a means of greatly reducing computational requirements for LLM inference and fine-tuning. We'll wrap up the concepts portion of the session by discussing Hugging Face and their transformers library. 
 
 The workshop starts with performing inference using the Hugging Face transformers library and the Falcon-7B-Instruct model. We then move to fine-tuning Falcon-7B-Instruct using the MedText dataset, where the goal is to take a prompt which describes symptoms of a medical issue and generate a diagnosis of the problem, as well as steps to treat it.",Michaela Buchanan,2024
Taking Generative AI and Vision AI to production at the Edge,"Building vision AI applications for the edge can often require long, costly development cycles. A powerful new collection of NVIDIA Metropolis APIs and microservices helps you accelerate the development and deployment of vision AI applications on NVIDIA Jetson Orin. In this training, we'll dive deeper into these microservices that comprises of sensor storage/management, pre-built inference pipelines, system monitoring, built-in security features, support for generative AI, and more, show how to securely connect the microservices to build vision AI applications and customize your apps with your own microservices. Join this session to experience example applications and get your questions answered in a live Q&A with our team of experts.",Sammy Ochoa // Chintan Shah,2024
How to Build OpenUSD Applications for Industrial Digital Twins,"Join NVIDIA specialists for a hands-on lab where we'll introduce the basics of the Omniverse development platform. You'll learn how to get started building 3D applications and tools that deliver the functionality needed to support industrial use cases and workflows for aggregating and reviewing large facilities such as factories, warehouses and more.",Jen Borucki // Sebastian Misiurek,2024
Human-to-SQL Query Automatic Translation with Kinetika's LLM Engine,"Kinetika, in partnership with NVIDIA, introduces a large language model engine that seamlessly translates natural language requests into SQL queries. Using the power of GPUs, their database offers advanced geospatial capabilities. You'll discover the magic behind creating an LLM for user-friendly database access. We'll delve into LLM selection, fine-tuning, and the art of prompt engineering for optimal results.",Amparo Canaveras,2024
Toward Trustworthy Automated Clinical Q&A: Grounding LLMs in Evidence with Retrieval Augmented Generation and Uncertainty Quantification,"Large language models (LLMs) have recently captured significant attention in healthcare. Their stellar performance across a range of applications highlights their potential for vital tasks like medical question-answering. However, LLMs can produce ""hallucination"" errors, generating overly confident answers without sufficient factual basis. We'll provide a detailed walkthrough on how to set up, deploy, and enhance the trustworthiness of a retrieval augmented generation (RAG) pipeline for building clinical question-answering systems. This approach ensures LLMs rely on specific evidence sets when used in automated clinical question-answering systems. We'll guide you through the three primary stages of developing this pipeline.",Pouria Rouzrokh // Shahriar Faghani,2024
Unlocking Local LLM Inference with Jetson AGX Orin: A Hands-On Lab,"Join us for this hands-on lab and learn how to harness the power of large language models (LLMs) and Jetson AGX Orin to build next-generation AI applications that can see, hear, and speak. You'll have the opportunity to work with LLMs in a real-world setting, fine-tuning and using them for tasks like image recognition, speech synthesis, and natural language processing. You'll also explore generative models like Stable Diffusion for image generation, and learn how to run LLM inference locally on Jetson AGX Orin.
 
 Through a combination of lectures, hands-on labs, and real-world case studies, you'll gain the skills and knowledge needed to bring these next-generation models to life in your own AI applications. Whether you're looking to build a smart home, create a robotic assistant, or develop advanced video analytics, this course has something for everyone.",Dustin Franklin,2024
Talk to Your Data in Your Native Language,"To use insights from billions of minutes of conversations with customers to build better products, companies deploy conversational applications such as customer care agent assists, virtual assistants, and digital avatars. While AI for voice services has been in high demand, development tools have lagged. Advances in speech AI (speech recognition and speech synthesis) offer the way forward. 
 
 Join AI experts to learn how to build production-ready speech AI applications for Intelligent Virtual Assistants or Audio Transcription that provide an accelerated path to better services, promising improved customer experiences and engagement..
 
 Bring your laptop to get access to the latest NVIDIA enterprise hardware and software through a hands-on lab powered by NVIDIA LaunchPad, and follow along as we build AI applications. Then consult with an architect to discuss your specific use case.",Sven Chilton // Tripti Singhal,2024
